Text,label
شي جميل ويفر رصيد الهاتف النقال ويسرع الطلب,1
أفصل موقع,1
حلوه تطبيق,1
شىء سىء جدا,0
رائع افتحوا فرع بالاردن وبعدين انا بطلب منكم دايما لازم هديه واحد دناميت لحم مجاني ههههه,1
عاشت الايادي توصيل سريع واكل ساخن,1
مقاطعة,0
ابو كلب نص المدن ما حطوها وش لون اطلب,0
للاسف الشركةسي جدا مفيش احترام للموعيد اوقات بننتظر اكثر من ساعة,0
سعيدالهجرس,1
والله احسن من هنقرستيشن احط رقمي يكتب الرقم خطاءء,1
فاشل جدا جدا قبل كان كل شيء واضح من القائمه الحين لازم ادخل عشان اشوف كل شيء قبل كان اسهل وارتب للعين الحين صار جدا سييء,0
خايس أنصحكم عن تنزلوه,0
ممتاز جدا يشكر عليه تفتخر بهذا العمل,1
GOD,1
Take care customers,0
فرح,1
التطبيق لا يعمل تم الغاء التطبيق,0
تحياتي وتقديري واحترامي لكل العملاء,1
أنا متحمس لتحقيق الأهداف المحددة للمشروع,1
الشركة الان تقوم بالنصب على العملاء من خلال تأخير في حل المشاكل سريعا وحلها خلال ايميل بعد ساعات يعني يكون السفر خلص والمشاكل اتحطت فوق راسنا الشركة قامت بالغاء رحلتي دون أسباب مع العلم ان موعد الرحله موجود وبه حجز ولم يتم رد ثمن الرحله لي مع العلم اني شاري باقة بفلوس مدفوعة مقدما لم يتم دفع تعويض عن الغاء رحلتي الخلاصة شركة وصلت بأنها هي الوحيدة الي بتقدم السفر فا غلت الأسعار والباقات وكمان بتسرق العميل دا غير بقا متعديش رحلات غير لما يصدموك برحله في قمة السوء شكرا شكة النصب على العملاء,0
ممتازة جداً,1
الصراحه انا طالب من ساعه والحين ساعه ماوصل واتصل محد يرد علي اسخف برنامج الصراحه,0
شركه تعبانه كيلو جنيه اوبر احسن وانضف والكيلو فيها جنيه ملاكي,0
حاجه في منتهى الروعه سواقين ومواعيد محترمه وسيارات نظيفة جدا,1
ينفعني وقت النكبات,1
زةزاواولةللاات,1
برنامج فاشل ومطاعم نصابة مايجيك الطلب الا وهو مثلج عدا عن تعامل السواقيين السئ جدا طلب مايجيك الا بعد ثلاث ساعات او ساعتين بجد مقررررررررررررف,0
برنامج نصب كان لى خصم جنيه على الاوردر وبعد ماجآء كابتن التوصيل بااقوله قالى مفيش الكلام نصب والى مش نصب وانا عملت كدا علشان همسح البرنامج النصاب دا ولا انصح أى حد بتعامل مع هذا البرنامج,0
تطبيق جيد جدا,1
ممتاز لكن يتأخر قليلا بالتوصيل,1
اسوء حاجه اكل بارد ومتاخر ساعتين عن ميعاده,0
